Nairobi,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,,,,,,
NAIROBI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
MOMBASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KWALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KILIFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
TANA RIVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
LAMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
TAITA TAVETA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
GARISSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
WAJIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MANDERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MARSABIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ISIOLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MERU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
THARAKA - NITHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
EMBU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KITUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MACHAKOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
NYANDARUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
NYERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KIRINYAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MURANG'A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KIAMBU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
TURKANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
WEST POKOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SAMBURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
UASIN GISHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ELEGEYO-MARAKWET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
NANDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BARINGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
LAIKIPIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
NAKURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
NAROK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KAJIADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MAKUENI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KERICHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KAKAMEGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
VIHIGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BUNGOMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BUSIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SIAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
HOMA BAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MIGORI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KISII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BOMET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
NYAMIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
KISUMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
TRANS NZOIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
